sku_name,total_qty,total_sales
"Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil",265,24645
"Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 2",112,20602
"Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 3",77,20529
"Sweet Karam Coffee Madras Mixture Namkeen, - No Palm Oil - Pack of 2",9,1656
"Sweet Karam Coffee Madras Mixture Namkeen, - No Palm Oil - Pack of 3",5,1335
"Sweet Karam Coffee Spicy Masala Papad - Pack of 2",6,884
"Sweet Karam Coffee Mini Jeera Papad Chips",12,819
"Sweet Karam Coffee Spicy Masala Papad",11,812
"Sweet Karam Coffee Mini Chilli Potato Papad",10,681
"Sweet Karam Coffee Mini Jeera Papad Chips - Pack of 2",5,681
